extension,File Format,count,NARA Format ID
upd,Program Update File,3210,
f44,8-bit ASCII Text,3206,
01,Unidentified,3194,
kml,Keyhole Markup Language,3192,NF00222
tps,Clarion TopSpeed Database file,3189,
02,Unidentified,3181,
001,Unidentified,3178,
sas,SAS Program Format file,3171,
sas7bd,SAS Index file,3164,
nls,Microsoft National Language Support Format,3139,
gif,Microsoft Front Page Server Extension Configuration,3116,
exampl,Unidentified,3107,
msg,Microsoft Word for Windows Document (97-2003),3104,
22,Unidentified,3095,
23,Unidentified,3068,
ivt,Beyond 20/20 Table File,3037,
xlt,Microsoft Excel Template,3034,NF00770
ful,Unidentified,3030,
cpp,C++ source code file,3019,
dat,Unidentified,2998,
sta,VectorWorks CAD Template,2987,
fzy,Unidentified,2973,
ppd,Acrobat PostScript Printer Description,2958,
hst,History Event Log,2877,
myi,MySQL MyISAM Database Index File,2870,
id,Lotus Notes/Domino Server User ID file,2859,
2014,Unidentified,2850,
h|hpp|hxx,C/C++/Objective-C Header File,2826,NF00732
#1,Unidentified,2811,
30,Unidentified,2801,
hci,Unidentified,2778,
pot,Microsoft PowerPoint Template,2776,NF00771
pdf,Microsoft Front Page Server Extension Configuration,2766,
ctx,Microsoft Visual Basic Control Binary File,2757,
que,CuteFTP Queue Data file,2743,
myd,MySQL MyISAM Database Data File,2732,
03,Unidentified,2715,
el,Elisp source code file,2714,
qs,Unidentified,2701,
pts,Avid Pro Tools Session 5.1-6.9,2692,NF00817
04,Unidentified,2681,
dsk,Disk Image,2665,
f5f,8-bit ASCII Text,2664,
sln,Microsoft Visual Studio Solution file,2658,
res,Resource File,2657,
vim,Unidentified,2646,
a86,A86 assembler source code file,2644,NF00769
manife,Unidentified,2639,
chk,Windows Saved File Fragment,2634,
acl,Microsoft Office AutoCorrect List,2624,NF00791
layout,Unidentified,2620,
efx,eFax Fax Document,2609,
efx,Everex eFax,2609,
dtd,eXtensible Markup Language Document Type Definition,2608,NF00162
dwt,Adobe Dreamweaver Template/AutoCAD Drawing Template,2594,
sf1,8-bit ASCII Text,2592,
resour,Unidentified,2576,
vxd,Virtual Device Driver,2572,
tlog,Unidentified,2537,
fmx,Unidentified,2535,
module,Unidentified,2531,
dg5,Unidentified,2493,
dgn,Microstation CAD Drawing (95),2480,
asc,American Standard Code for Information Interchange (ASCII) unspecified version,2473,
gif,Unidentified,2467,
dgn,Microstation CAD Drawing 95,2447,NF00333
raw|rgb|yuv,Raw Bitmap,2436,NF00395
6,Unidentified,2429,
7,Unidentified,2425,
html,Extensible Hypertext Markup Language (1.0),2391,
sf,IRCAM Sound File,2390,NF00816
format,Unidentified,2389,
sbx,ESRI Spatial Index File,2381,
not,MIDI Notation File,2366,
qs3,Unidentified,2353,
fcp,Apple Final Cut Pro Project,2353,NF00819
debug,Unidentified,2352,
kfd,Unidentified,2348,
csproj,Unidentified,2323,
da_,Unidentified,2313,
est,Microsoft Streets and Trips Map Format,2312,NF00821
cdi,Phillips Compact Disk Interactive format,2307,
dng,Digital Negative Format (DNG) (1.3),2300,
pf,Windows Prefetcher,2276,
atx,Unidentified,2258,
flt,OpenFlight 3D geometry model file,2257,
mata,Unidentified,2236,
17,Tagged Image File Format,2235,
1,Tagged Image File Format,2233,
7,Tagged Image File Format,2224,
10,Tagged Image File Format,2224,
6,Tagged Image File Format,2218,
12,Tagged Image File Format,2218,
20,Tagged Image File Format,2218,
2,Tagged Image File Format,2217,
18,Tagged Image File Format,2216,
15,Tagged Image File Format,2213,
8,Tagged Image File Format,2212,
21,Tagged Image File Format,2212,
9,Tagged Image File Format,2210,
